Row Labels,Count of CaseNumber,,,,
2018-GES-000788,2,,,,
2019-0A2-004519,2,,,,
2019-0A4-002869,2,,,,
2019-0A4-005855,2,,,,
2019-0A4-006952,2,,,,
2019-0A4-007797,2,,,,
2019-0A5-005334,2,,,,
2019-0A5-006160,2,,,,
2019-0A5-006293,2,,,,
2019-0A6-005158,2,,,,
2019-0B4-001882,2,,,,
2019-0C2-002063,2,,,,
2019-0C6-005026,2,,,,
2019-0D2-003045,2,,,,
2019-0D4-001060,2,,,,
2019-0D4-006124,2,,,,
2019-0F1-001272,2,,,,
2019-0F1-001273,2,,,,
2019-0F1-001310,2,,,,
2019-0F1-001572,2,,,,
2019-0F1-005333,2,,,,
2019-0F1-006913,2,,,,
2019-0F1-007403,2,,,,
2019-0F1-007623,2,,,,
2019-0F1-008339,2,,,,
2019-0F1-008835,2,,,,
2019-0F1-009324,2,,,,
2019-0F1-010374,2,,,,
2019-0F1-010508,2,,,,
2019-0F1-010975,2,,,,
2019-0F1-011595,2,,,,
2019-0F1-012439,2,,,,
2019-0F1-012792,2,,,,
2019-0F1-013661,2,,,,
2019-0F1-013779,2,,,,
2019-0F1-014568,2,,,,
2019-0F1-014637,2,,,,
2019-0F1-014654,2,,,,
2019-0F1-015049,2,,,,
2019-0F1-015761,2,,,,
2019-0F1-018118,2,,,,
2019-0F1-018281,2,,,,
2019-0F1-018538,2,,,,
2019-0F1-018684,2,,,,
2019-0F1-018877,2,,,,
2019-0F1-018881,2,,,,
2019-0F1-020866,2,,,,
2019-0F1-021254,2,,,,
2019-0F1-021255,2,,,,
2019-0F1-021464,2,,,,
2019-0F1-023368,2,,,,
2019-0F1-025199,2,,,,
2019-0F1-026382,2,,,,
2019-0F1-026582,2,,,,
2019-0F1-026712,2,,,,
2019-0F1-026716,2,,,,
2019-0F1-026877,2,,,,
2019-0F1-028262,2,,,,
2019-0F1-028543,2,,,,
2019-0F1-028848,2,,,,
2019-0F1-029529,2,,,,
2019-0F1-030693,2,,,,
2019-0F1-031168,2,,,,
2019-0F1-031926,2,,,,
2019-0F1-034559,2,,,,
2019-0F1-035594,2,,,,
2019-0F1-037203,2,,,,
2019-0F1-038887,2,,,,
2019-0F1-039328,2,,,,
2019-0F1-039714,2,,,,
2019-0F1-042208,2,,,,
2019-0F1-042636,2,,,,
2019-0F1-046490,2,,,,
2019-0F1-048544,2,,,,
2019-0F1-049300,2,,,,
2019-0F1-049613,2,,,,
2019-0F1-051346,2,,,,
2019-0F1-053986,2,,,,
2019-0F1-055162,2,,,,
2019-0F1-055551,2,,,,
2019-0F1-057072,2,,,,
2019-0F1-058459,2,,,,
2019-0F1-058460,2,,,,
2019-0F1-059093,2,,,,
2019-0F1-059482,2,,,,
2019-0F1-059674,2,,,,
2019-0F1-060838,2,,,,
2019-0F1-061402,2,,,,
2019-0F1-063182,2,,,,
2019-0F1-065379,2,,,,
2019-0F1-065567,2,,,,
2019-0F1-068671,2,,,,
2019-0H3-002000,2,,,,
2019-0H3-009763,2,,,,
2019-0H4-002436,2,,,,
2019-0H4-002789,2,,,,
2019-0H4-004339,2,,,,
2019-0H4-004600,2,,,,
2019-0H4-005093,2,,,,
2019-0H4-005669,2,,,,
2019-0H4-005787,2,,,,
2019-0H4-007034,2,,,,
2019-0H4-007140,2,,,,
2019-0H4-007530,2,,,,
2019-0H4-007719,2,,,,
2019-0H4-008481,2,,,,
2019-0H5-004058,2,,,,
2019-0H5-004364,2,,,,
2019-0H6-003864,2,,,,
2019-0H6-004716,2,,,,
2019-0H6-005762,2,,,,
2019-0H6-008601,2,,,,
2019-0H7-003209,2,,,,
2019-0H7-003938,2,,,,
2019-0H9-000013,2,,,,
2019-0H9-000235,2,,,,
2019-0H9-000474,2,,,,
2019-0H9-000611,2,,,,
2019-0H9-000676,2,,,,
2019-0H9-002169,2,,,,
2019-0H9-002580,2,,,,
2019-0H9-002813,2,,,,
2019-0H9-002859,2,,,,
2019-0H9-004153,2,,,,
2019-0H9-004551,2,,,,
2019-0H9-005508,2,,,,
2019-0H9-005769,2,,,,
2019-0H9-005992,2,,,,
2019-0H9-007868,2,,,,
2019-0H9-008041,2,,,,
2019-0H9-008294,2,,,,
2019-0H9-008718,2,,,,
2019-0H9-009068,2,,,,
2019-0H9-009270,2,,,,
2019-0H9-009300,2,,,,
