Sex,Age,Race,Ethnicity,Location,Date/Time,Source,Search,Outcome,Officer,Badge,Other Officer,Other Badge
MALE,30,BLACK,UNKNOWN,0 LANSDOWNE ST,4/8/20 19:43,GANG ACTIVITY IN QUINCY,,,"MENZ, JAMES",5298,,
MALE,32,BLACK,UNKNOWN,0 LANSDOWNE ST,4/8/20 19:43,GANG ACTIVITY IN QUINCY,,,"MENZ, JAMES",5298,,
MALE,33,BLACK,UNKNOWN,0 LANSDOWNE ST,4/8/20 19:43,GANG ACTIVITY IN QUINCY,,,"MENZ, JAMES",5298,,
FEMALE,18,BLACK,NOT OF HISPANIC ORIGIN,439 NEWPORT AV,4/15/20 12:00,BOSTON STABBING,,,"MENZ, JAMES",5298,,
FEMALE,26,BLACK,UNKNOWN,439 NEWPORT AV,4/15/20 12:00,BOSTON STABBING,,,"MENZ, JAMES",5298,,
MALE,17,BLACK,UNKNOWN,439 NEWPORT AV,4/15/20 12:00,BOSTON STABBING,,,"MENZ, JAMES",5298,,
MALE,32,BLACK,UNKNOWN,205 ELM ST,4/28/20 14:45,,,,"MENZ, JAMES",5298,,
MALE,32,WHITE,NOT OF HISPANIC ORIGIN,81 SACHEM ST,5/5/20 10:00,,,,"KELLY, JOHN",6216,,
FEMALE,28,WHITE,NOT OF HISPANIC ORIGIN,,5/8/20 0:00,,,,"MENZ, JAMES",5298,,
MALE,20,WHITE,NOT OF HISPANIC ORIGIN,,5/8/20 0:00,,,,"MENZ, JAMES",5298,,
MALE,30,BLACK,UNKNOWN,583 ADAMS ST,5/15/20 0:00,RECORDING OFFICERS,,,"MENZ, JAMES",5298,,
MALE,21,BLACK,UNKNOWN,,5/20/20 8:00,,,,"MENZ, JAMES",5298,,
MALE,41,BLACK,UNKNOWN,,5/22/20 0:49,FIREARM POSSESSION,,,"MENZ, JAMES",5298,,
FEMALE,41,BLACK,HISPANIC ORIGIN,0 LOWE ST,5/16/20 9:50,,,,", ",,,
FEMALE,61,WHITE,NOT OF HISPANIC ORIGIN,1300 HANCOCK ST,6/2/20 18:00,,,,"MENZ, JAMES",5298,,
MALE,21,BLACK,NOT OF HISPANIC ORIGIN,,6/4/20 8:00,FIREWORKS,,,"MENZ, JAMES",5298,,
